Nominative,Genitive,Gender,Declension,EnglishMeanings
tepor,tepōris,m,III,warmth
tergum,tergī,n,II,"back, rear"
terra,terrae,f,I,"land, soil, earth"
terror,terrōris,m,III,"terror, fright"
testis,testis,u,III-i,witness
testūdō,testūdinis,u,III,"tortoise, battle formation with shields overhead"
theātrum,theātrī,n,II,theatre
tībia,tībiae,f,I,"shin, flute"
tībicen,tībicinis,m,III,flute player (m.)
tībicina,tībicinae,f,I,flute player (f.)
tigris,tigridis,u,III,tiger
timor,timōris,m,III,fear
toga,togae,f,I,"toga, robe, gown"
tormentum,tormentī,n,II,"torment, torture, artillery equipment"
tortiō,tortiōnis,f,III,"torsion, act of twisting"
trāditiō,trāditiōnis,f,III,"tradition, act of handing over"
tranquillitās,tranquillitātis,f,III,"tranquility, calmness"
tribūnus,tribūnī,m,II,"tribune, tribal representative"
tribus,tribūs,m,IV,tribe
trīclinium,trīcliniī,n,II,dining room
trīnitās,trīnitātis,f,III,"trinity, group of three"
tūnica,tūnicae,f,I,"tunic, long shirt"
turpitūdō,turpitūdinis,f,III,"turpitude, ugliness, shamefullness"
ultiō,ultiōnis,f,III,act of avenging
ultor,ultōris,u,III,avenger
umerus,umerī,m,II,shoulder
unguis,unguis,m,III-i,"fingernail, toenail"
ūnitās,ūnitātis,f,III,"unity, oneness"
urbs,urbis,f,III-i,city
ursa,ursae,f,I,bear (f.)
ursus,ursī,m,II,bear (m.)
ūsus,ūsūs,m,IV,"use, experience"
uterus,uterī,m,II,"uterus, womb"
ūtilitās,ūtilitātis,f,III,"utility, usefulness"
uxor,uxōris,f,III,user
vacca,vaccae,f,I,cow
validitās,validitātis,f,III,"validity, strength, well-being"
vallēs,vallis,f,III-i,valley
vehiculum,vehiculī,n,II,"vehicle, cart, wagon"
vēlōcitās,vēlōcitātis,f,III,"velocity, swiftness"
vēna,vēnae,f,I,vein
venter,ventris,m,III,"belly, front of the torso"
vēr,vēris,n,III,springtime
verbum,verbī,n,II,word
vēritās,vēritātis,f,III,"verity, truth"
versiõ,versiōnis,f,III,"version, act of turning"
vetustās,vetustātis,f,III,old age
via,viae,f,I,"road, way"
victor,victōris,u,III,"victor, winner"
victōria,victōriae,f,I,victory
vīctus,vīctūs,m,IV,"victuals, foodstuffs"
vīcus,vīcī,m,II,village
vigil,vigilis,u,III,watchperson
vīlla,vīllae,f,I,"farmhouse, mansion, estate"
vinculum,vinculī,n,II,"chain, manacle, binding"
vīnum,vīnī,n,II,wine
vir,virī,m,II,man
virgō,virginis,f,III,"virgin, young girl"
virtūs,virtūtis,f,III,"courage, manliness"
vīsiō,vīsiōnis,f,III,"vision, act of seeing"
vīsor,vīsōris,u,III,one who sees
vīta,vītae,f,I,life
vocātiō,vocātiōnis,f,III,"vocation, act of calling"
vocātor,vocātōris,u,III,caller
volūmen,volūminis,n,III,"volume, scroll"
voluntās,voluntātis,f,III,"free will, desire"
voluptās,voluptātis,f,III,"pleasure, delight"
vōx,vocis,f,III,voice
vulnerātiō,vulnerātiōnis,f,III,act of wounding
vulnus,vulneris,n,III,wound
vulpēs,vulpis,u,III-i,fox
vultur,vulturis,u,III,vulture
vultus,vultūs,m,IV,"face, countenance"
Zephyrus,Zephyrī,m,II,"Zephyr, west, west wind"
